tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/07/2025,2.1495,2.1580,2.1495,2.1580,+0.0142,+0.66%,711,936,"{'tradeTime': '2025-07-07', 'openPrice': 2.1495, 'highPrice': 2.158, 'lowPrice': 2.1495, 'lastPrice': 2.158, 'priceChange': 0.0142, 'percentChange': 0.006623752216, 'volume': 711, 'openInterest': 936}"
07/03/2025,2.1511,2.1511,2.1438,2.1438,-0.0158,-0.73%,201,819,"{'tradeTime': '2025-07-03', 'openPrice': 2.1511, 'highPrice': 2.1511, 'lowPrice': 2.1438, 'lastPrice': 2.1438, 'priceChange': -0.0158, 'percentChange': -0.007316169661, 'volume': 201, 'openInterest': 819}"
07/02/2025,2.1596,2.1596,2.1596,2.1596,+0.0292,+1.37%,121,737,"{'tradeTime': '2025-07-02', 'openPrice': 2.1596, 'highPrice': 2.1596, 'lowPrice': 2.1596, 'lastPrice': 2.1596, 'priceChange': 0.0292, 'percentChange': 0.013706346226, 'volume': 121, 'openInterest': 737}"
07/01/2025,2.1144,2.1306,2.1144,2.1304,+0.0139,+0.66%,192,735,"{'tradeTime': '2025-07-01', 'openPrice': 2.1144, 'highPrice': 2.1306, 'lowPrice': 2.1144, 'lastPrice': 2.1304, 'priceChange': 0.0139, 'percentChange': 0.006567446256, 'volume': 192, 'openInterest': 735}"
06/30/2025,2.1158,2.1175,2.1092,2.1165,+0.0100,+0.47%,170,705,"{'tradeTime': '2025-06-30', 'openPrice': 2.1158, 'highPrice': 2.1175, 'lowPrice': 2.1092, 'lastPrice': 2.1165, 'priceChange': 0.01, 'percentChange': 0.004747211014, 'volume': 170, 'openInterest': 705}"
06/27/2025,2.1161,2.1161,2.1065,2.1065,-0.0180,-0.85%,97,711,"{'tradeTime': '2025-06-27', 'openPrice': 2.1161, 'highPrice': 2.1161, 'lowPrice': 2.1065, 'lastPrice': 2.1065, 'priceChange': -0.018, 'percentChange': -0.008472581784, 'volume': 97, 'openInterest': 711}"
06/26/2025,2.1185,2.1245,2.1185,2.1245,+0.0145,+0.69%,165,703,"{'tradeTime': '2025-06-26', 'openPrice': 2.1185, 'highPrice': 2.1245, 'lowPrice': 2.1185, 'lastPrice': 2.1245, 'priceChange': 0.0145, 'percentChange': 0.006872037915, 'volume': 165, 'openInterest': 703}"
06/25/2025,2.1150,2.1340,2.1100,2.1100,-0.0188,-0.88%,192,718,"{'tradeTime': '2025-06-25', 'openPrice': 2.115, 'highPrice': 2.134, 'lowPrice': 2.11, 'lastPrice': 2.11, 'priceChange': -0.0188, 'percentChange': -0.008831266441, 'volume': 192, 'openInterest': 718}"
06/24/2025,2.1290,2.1538,2.1288,2.1288,-0.0751,-3.41%,355,710,"{'tradeTime': '2025-06-24', 'openPrice': 2.129, 'highPrice': 2.1538, 'lowPrice': 2.1288, 'lastPrice': 2.1288, 'priceChange': -0.0751, 'percentChange': -0.034075956259, 'volume': 355, 'openInterest': 710}"
06/23/2025,2.2944,2.3441,2.1938,2.2039,-0.0905,-3.94%,247,701,"{'tradeTime': '2025-06-23', 'openPrice': 2.2944, 'highPrice': 2.3441, 'lowPrice': 2.1938, 'lastPrice': 2.2039, 'priceChange': -0.0905, 'percentChange': -0.039443863319, 'volume': 247, 'openInterest': 701}"
06/20/2025,2.3000,2.3063,2.2940,2.2944,+0.0049,+0.21%,432,712,"{'tradeTime': '2025-06-20', 'openPrice': 2.3, 'highPrice': 2.3063, 'lowPrice': 2.294, 'lastPrice': 2.2944, 'priceChange': 0.0049, 'percentChange': 0.002140205285, 'volume': 432, 'openInterest': 712}"
06/18/2025,2.2895,2.2895,2.2742,2.2895,-0.0057,-0.25%,177,710,"{'tradeTime': '2025-06-18', 'openPrice': 2.2895, 'highPrice': 2.2895, 'lowPrice': 2.2742, 'lastPrice': 2.2895, 'priceChange': -0.0057, 'percentChange': -0.002483443709, 'volume': 177, 'openInterest': 710}"
06/17/2025,2.2952,2.2952,2.2952,2.2952,+0.0612,+2.74%,300,709,"{'tradeTime': '2025-06-17', 'openPrice': 2.2952, 'highPrice': 2.2952, 'lowPrice': 2.2952, 'lastPrice': 2.2952, 'priceChange': 0.0612, 'percentChange': 0.02739480752, 'volume': 300, 'openInterest': 709}"
06/16/2025,2.2340,2.2540,2.1998,2.2340,+0.0236,+1.07%,103,715,"{'tradeTime': '2025-06-16', 'openPrice': 2.234, 'highPrice': 2.254, 'lowPrice': 2.1998, 'lastPrice': 2.234, 'priceChange': 0.0236, 'percentChange': 0.010676800579, 'volume': 103, 'openInterest': 715}"
06/13/2025,2.2104,2.2104,2.2104,2.2104,+0.0892,+4.21%,907,699,"{'tradeTime': '2025-06-13', 'openPrice': 2.2104, 'highPrice': 2.2104, 'lowPrice': 2.2104, 'lastPrice': 2.2104, 'priceChange': 0.0892, 'percentChange': 0.042051668867, 'volume': 907, 'openInterest': 699}"
06/12/2025,2.1212,2.1212,2.1212,2.1212,-0.0119,-0.56%,61,644,"{'tradeTime': '2025-06-12', 'openPrice': 2.1212, 'highPrice': 2.1212, 'lowPrice': 2.1212, 'lastPrice': 2.1212, 'priceChange': -0.0119, 'percentChange': -0.005578735174, 'volume': 61, 'openInterest': 644}"
06/11/2025,2.1331,2.1331,2.1331,2.1331,+0.0425,+2.03%,124,642,"{'tradeTime': '2025-06-11', 'openPrice': 2.1331, 'highPrice': 2.1331, 'lowPrice': 2.1331, 'lastPrice': 2.1331, 'priceChange': 0.0425, 'percentChange': 0.020329092127, 'volume': 124, 'openInterest': 642}"
06/10/2025,2.0906,2.0906,2.0906,2.0906,+0.0012,+0.06%,48,630,"{'tradeTime': '2025-06-10', 'openPrice': 2.0906, 'highPrice': 2.0906, 'lowPrice': 2.0906, 'lastPrice': 2.0906, 'priceChange': 0.0012, 'percentChange': 0.000574327558, 'volume': 48, 'openInterest': 630}"
06/09/2025,2.0894,2.0894,2.0894,2.0894,+0.0129,+0.62%,24,636,"{'tradeTime': '2025-06-09', 'openPrice': 2.0894, 'highPrice': 2.0894, 'lowPrice': 2.0894, 'lastPrice': 2.0894, 'priceChange': 0.0129, 'percentChange': 0.006212376595, 'volume': 24, 'openInterest': 636}"
06/06/2025,2.0765,2.0765,2.0538,2.0765,+0.0209,+1.02%,76,640,"{'tradeTime': '2025-06-06', 'openPrice': 2.0765, 'highPrice': 2.0765, 'lowPrice': 2.0538, 'lastPrice': 2.0765, 'priceChange': 0.0209, 'percentChange': 0.010167347733, 'volume': 76, 'openInterest': 640}"
06/05/2025,2.0600,2.0600,2.0550,2.0556,+0.0112,+0.55%,49,637,"{'tradeTime': '2025-06-05', 'openPrice': 2.06, 'highPrice': 2.06, 'lowPrice': 2.055, 'lastPrice': 2.0556, 'priceChange': 0.0112, 'percentChange': 0.005478379965, 'volume': 49, 'openInterest': 637}"
06/04/2025,2.0444,2.0444,2.0444,2.0444,-0.0250,-1.21%,35,642,"{'tradeTime': '2025-06-04', 'openPrice': 2.0444, 'highPrice': 2.0444, 'lowPrice': 2.0444, 'lastPrice': 2.0444, 'priceChange': -0.025, 'percentChange': -0.012080796366, 'volume': 35, 'openInterest': 642}"
06/03/2025,2.0694,2.0694,2.0694,2.0694,+0.0363,+1.79%,30,646,"{'tradeTime': '2025-06-03', 'openPrice': 2.0694, 'highPrice': 2.0694, 'lowPrice': 2.0694, 'lastPrice': 2.0694, 'priceChange': 0.0363, 'percentChange': 0.017854507894, 'volume': 30, 'openInterest': 646}"
06/02/2025,2.0524,2.0524,2.0331,2.0331,+0.0322,+1.61%,79,654,"{'tradeTime': '2025-06-02', 'openPrice': 2.0524, 'highPrice': 2.0524, 'lowPrice': 2.0331, 'lastPrice': 2.0331, 'priceChange': 0.0322, 'percentChange': 0.016092758259, 'volume': 79, 'openInterest': 654}"
05/30/2025,2.0283,2.0316,2.0009,2.0009,-0.0231,-1.14%,66,642,"{'tradeTime': '2025-05-30', 'openPrice': 2.0283, 'highPrice': 2.0316, 'lowPrice': 2.0009, 'lastPrice': 2.0009, 'priceChange': -0.0231, 'percentChange': -0.011413043478, 'volume': 66, 'openInterest': 642}"
05/29/2025,2.0266,2.0694,2.0240,2.0240,-0.0346,-1.68%,106,634,"{'tradeTime': '2025-05-29', 'openPrice': 2.0266, 'highPrice': 2.0694, 'lowPrice': 2.024, 'lastPrice': 2.024, 'priceChange': -0.0346, 'percentChange': -0.016807539104, 'volume': 106, 'openInterest': 634}"
05/28/2025,2.0600,2.0600,2.0530,2.0586,+0.0172,+0.84%,63,612,"{'tradeTime': '2025-05-28', 'openPrice': 2.06, 'highPrice': 2.06, 'lowPrice': 2.053, 'lastPrice': 2.0586, 'priceChange': 0.0172, 'percentChange': 0.008425590281, 'volume': 63, 'openInterest': 612}"
05/27/2025,2.0414,2.0644,2.0414,2.0414,-0.0228,-1.10%,61,602,"{'tradeTime': '2025-05-27', 'openPrice': 2.0414, 'highPrice': 2.0644, 'lowPrice': 2.0414, 'lastPrice': 2.0414, 'priceChange': -0.0228, 'percentChange': -0.011045441333, 'volume': 61, 'openInterest': 602}"
05/23/2025,2.0575,2.0642,2.0409,2.0642,+0.0027,+0.13%,160,598,"{'tradeTime': '2025-05-23', 'openPrice': 2.0575, 'highPrice': 2.0642, 'lowPrice': 2.0409, 'lastPrice': 2.0642, 'priceChange': 0.0027, 'percentChange': 0.001309725928, 'volume': 160, 'openInterest': 598}"
