tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/08/2025,641.00,651.75,640.00,649.75,+10.25,+1.60%,"4,585",0,"{'tradeTime': '2025-07-08', 'openPrice': 641, 'highPrice': 651.75, 'lowPrice': 640, 'lastPrice': 649.75, 'priceChange': 10.25, 'percentChange': 0.01602814699, 'volume': 4585, 'openInterest': 0}"
07/07/2025,634.25,643.00,633.25,639.50,-1.50,-0.23%,"3,391","35,841","{'tradeTime': '2025-07-07', 'openPrice': 634.25, 'highPrice': 643, 'lowPrice': 633.25, 'lastPrice': 639.5, 'priceChange': -1.5, 'percentChange': -0.002340093604, 'volume': 3391, 'openInterest': 35841}"
07/04/2025,635.50,642.00,632.50,641.00,+2.75,+0.43%,"3,003","35,571","{'tradeTime': '2025-07-04', 'openPrice': 635.5, 'highPrice': 642, 'lowPrice': 632.5, 'lastPrice': 641, 'priceChange': 2.75, 'percentChange': 0.004308656483, 'volume': 3003, 'openInterest': 35571}"
07/03/2025,638.75,639.25,633.50,638.25,+5.50,+0.87%,"6,993","35,715","{'tradeTime': '2025-07-03', 'openPrice': 638.75, 'highPrice': 639.25, 'lowPrice': 633.5, 'lastPrice': 638.25, 'priceChange': 5.5, 'percentChange': 0.008692216515, 'volume': 6993, 'openInterest': 35715}"
07/02/2025,630.50,639.75,628.50,632.75,+4.50,+0.72%,"3,549","35,837","{'tradeTime': '2025-07-02', 'openPrice': 630.5, 'highPrice': 639.75, 'lowPrice': 628.5, 'lastPrice': 632.75, 'priceChange': 4.5, 'percentChange': 0.007162753681, 'volume': 3549, 'openInterest': 35837}"
07/01/2025,622.25,633.00,621.00,628.25,+3.00,+0.48%,"4,407","35,431","{'tradeTime': '2025-07-01', 'openPrice': 622.25, 'highPrice': 633, 'lowPrice': 621, 'lastPrice': 628.25, 'priceChange': 3, 'percentChange': 0.004798080768, 'volume': 4407, 'openInterest': 35431}"
06/30/2025,618.75,627.00,618.75,625.25,-1.00,-0.16%,"2,536","35,568","{'tradeTime': '2025-06-30', 'openPrice': 618.75, 'highPrice': 627, 'lowPrice': 618.75, 'lastPrice': 625.25, 'priceChange': -1, 'percentChange': -0.001596806387, 'volume': 2536, 'openInterest': 35568}"
06/27/2025,630.75,632.75,618.50,626.25,-10.75,-1.69%,"2,644","35,063","{'tradeTime': '2025-06-27', 'openPrice': 630.75, 'highPrice': 632.75, 'lowPrice': 618.5, 'lastPrice': 626.25, 'priceChange': -10.75, 'percentChange': -0.016875981162, 'volume': 2644, 'openInterest': 35063}"
06/26/2025,628.00,637.50,625.25,637.00,+4.25,+0.67%,"3,449","34,664","{'tradeTime': '2025-06-26', 'openPrice': 628, 'highPrice': 637.5, 'lowPrice': 625.25, 'lastPrice': 637, 'priceChange': 4.25, 'percentChange': 0.006716712762, 'volume': 3449, 'openInterest': 34664}"
06/25/2025,637.25,637.25,625.50,632.75,-0.50,-0.08%,"5,769","33,844","{'tradeTime': '2025-06-25', 'openPrice': 637.25, 'highPrice': 637.25, 'lowPrice': 625.5, 'lastPrice': 632.75, 'priceChange': -0.5, 'percentChange': -0.000789577576, 'volume': 5769, 'openInterest': 33844}"
