tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/07/2025,2.2299,2.2556,2.2183,2.2483,+0.0229,+1.03%,"3,599","11,067","{'tradeTime': '2025-07-07', 'openPrice': 2.2299, 'highPrice': 2.2556, 'lowPrice': 2.2183, 'lastPrice': 2.2483, 'priceChange': 0.0229, 'percentChange': 0.010290284893, 'volume': 3599, 'openInterest': 11067}"
07/03/2025,2.2371,2.2485,2.2230,2.2254,-0.0216,-0.96%,"3,526","9,974","{'tradeTime': '2025-07-03', 'openPrice': 2.2371, 'highPrice': 2.2485, 'lowPrice': 2.223, 'lastPrice': 2.2254, 'priceChange': -0.0216, 'percentChange': -0.009612817089, 'volume': 3526, 'openInterest': 9974}"
07/02/2025,2.1992,2.2486,2.1930,2.2470,+0.0476,+2.16%,"3,885","9,196","{'tradeTime': '2025-07-02', 'openPrice': 2.1992, 'highPrice': 2.2486, 'lowPrice': 2.193, 'lastPrice': 2.247, 'priceChange': 0.0476, 'percentChange': 0.021642266073, 'volume': 3885, 'openInterest': 9196}"
07/01/2025,2.1672,2.2048,2.1627,2.1994,+0.0183,+0.84%,"4,628","8,700","{'tradeTime': '2025-07-01', 'openPrice': 2.1672, 'highPrice': 2.2048, 'lowPrice': 2.1627, 'lastPrice': 2.1994, 'priceChange': 0.0183, 'percentChange': 0.008390261795, 'volume': 4628, 'openInterest': 8700}"
06/30/2025,2.1646,2.1856,2.1433,2.1811,+0.0179,+0.83%,"2,629","8,887","{'tradeTime': '2025-06-30', 'openPrice': 2.1646, 'highPrice': 2.1856, 'lowPrice': 2.1433, 'lastPrice': 2.1811, 'priceChange': 0.0179, 'percentChange': 0.008274778107, 'volume': 2629, 'openInterest': 8887}"
06/27/2025,2.1903,2.1969,2.1488,2.1632,-0.0288,-1.31%,"1,300","8,502","{'tradeTime': '2025-06-27', 'openPrice': 2.1903, 'highPrice': 2.1969, 'lowPrice': 2.1488, 'lastPrice': 2.1632, 'priceChange': -0.0288, 'percentChange': -0.013138686131, 'volume': 1300, 'openInterest': 8502}"
06/26/2025,2.1809,2.2150,2.1752,2.1920,+0.0189,+0.87%,"1,859","8,119","{'tradeTime': '2025-06-26', 'openPrice': 2.1809, 'highPrice': 2.215, 'lowPrice': 2.1752, 'lastPrice': 2.192, 'priceChange': 0.0189, 'percentChange': 0.008697252773, 'volume': 1859, 'openInterest': 8119}"
06/25/2025,2.2098,2.2113,2.1720,2.1731,-0.0083,-0.38%,"2,928","7,992","{'tradeTime': '2025-06-25', 'openPrice': 2.2098, 'highPrice': 2.2113, 'lowPrice': 2.172, 'lastPrice': 2.1731, 'priceChange': -0.0083, 'percentChange': -0.003804895938, 'volume': 2928, 'openInterest': 7992}"
06/24/2025,2.2002,2.2111,2.1711,2.1814,-0.0901,-3.97%,"3,225","7,447","{'tradeTime': '2025-06-24', 'openPrice': 2.2002, 'highPrice': 2.2111, 'lowPrice': 2.1711, 'lastPrice': 2.1814, 'priceChange': -0.0901, 'percentChange': -0.039665419326, 'volume': 3225, 'openInterest': 7447}"
06/23/2025,2.4438,2.4938,2.2368,2.2715,-0.1286,-5.36%,"3,378","7,048","{'tradeTime': '2025-06-23', 'openPrice': 2.4438, 'highPrice': 2.4938, 'lowPrice': 2.2368, 'lastPrice': 2.2715, 'priceChange': -0.1286, 'percentChange': -0.053581100787, 'volume': 3378, 'openInterest': 7048}"
