tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/07/2025,2.1600,2.1721,2.1600,2.1721,+0.0129,+0.60%,540,534,"{'tradeTime': '2025-07-07', 'openPrice': 2.16, 'highPrice': 2.1721, 'lowPrice': 2.16, 'lastPrice': 2.1721, 'priceChange': 0.0129, 'percentChange': 0.005974434976, 'volume': 540, 'openInterest': 534}"
07/03/2025,2.1592,2.1592,2.1592,2.1592,-0.0131,-0.60%,71,516,"{'tradeTime': '2025-07-03', 'openPrice': 2.1592, 'highPrice': 2.1592, 'lowPrice': 2.1592, 'lastPrice': 2.1592, 'priceChange': -0.0131, 'percentChange': -0.006030474612, 'volume': 71, 'openInterest': 516}"
07/02/2025,2.1723,2.1723,2.1723,2.1723,+0.0261,+1.22%,58,510,"{'tradeTime': '2025-07-02', 'openPrice': 2.1723, 'highPrice': 2.1723, 'lowPrice': 2.1723, 'lastPrice': 2.1723, 'priceChange': 0.0261, 'percentChange': 0.012161028795, 'volume': 58, 'openInterest': 510}"
07/01/2025,2.1462,2.1462,2.1462,2.1462,+0.0127,+0.60%,76,501,"{'tradeTime': '2025-07-01', 'openPrice': 2.1462, 'highPrice': 2.1462, 'lowPrice': 2.1462, 'lastPrice': 2.1462, 'priceChange': 0.0127, 'percentChange': 0.005952659948, 'volume': 76, 'openInterest': 501}"
06/30/2025,2.1335,2.1335,2.1335,2.1335,+0.0089,+0.42%,44,516,"{'tradeTime': '2025-06-30', 'openPrice': 2.1335, 'highPrice': 2.1335, 'lowPrice': 2.1335, 'lastPrice': 2.1335, 'priceChange': 0.0089, 'percentChange': 0.004189023816, 'volume': 44, 'openInterest': 516}"
06/27/2025,2.1246,2.1246,2.1246,2.1246,-0.0152,-0.71%,7,513,"{'tradeTime': '2025-06-27', 'openPrice': 2.1246, 'highPrice': 2.1246, 'lowPrice': 2.1246, 'lastPrice': 2.1246, 'priceChange': -0.0152, 'percentChange': -0.007103467614, 'volume': 7, 'openInterest': 513}"
06/26/2025,2.1382,2.1398,2.1382,2.1398,+0.0146,+0.69%,65,514,"{'tradeTime': '2025-06-26', 'openPrice': 2.1382, 'highPrice': 2.1398, 'lowPrice': 2.1382, 'lastPrice': 2.1398, 'priceChange': 0.0146, 'percentChange': 0.006869941653, 'volume': 65, 'openInterest': 514}"
06/25/2025,2.1480,2.1480,2.1252,2.1252,-0.0168,-0.78%,63,505,"{'tradeTime': '2025-06-25', 'openPrice': 2.148, 'highPrice': 2.148, 'lowPrice': 2.1252, 'lastPrice': 2.1252, 'priceChange': -0.0168, 'percentChange': -0.007843137255, 'volume': 63, 'openInterest': 505}"
06/24/2025,2.1453,2.1670,2.1420,2.1420,-0.0671,-3.04%,141,502,"{'tradeTime': '2025-06-24', 'openPrice': 2.1453, 'highPrice': 2.167, 'lowPrice': 2.142, 'lastPrice': 2.142, 'priceChange': -0.0671, 'percentChange': -0.030374360599, 'volume': 141, 'openInterest': 502}"
06/23/2025,2.2965,2.3350,2.2004,2.2091,-0.0852,-3.71%,86,492,"{'tradeTime': '2025-06-23', 'openPrice': 2.2965, 'highPrice': 2.335, 'lowPrice': 2.2004, 'lastPrice': 2.2091, 'priceChange': -0.0852, 'percentChange': -0.037135509742, 'volume': 86, 'openInterest': 492}"
06/20/2025,2.3000,2.3000,2.2922,2.2943,+0.0043,+0.19%,239,508,"{'tradeTime': '2025-06-20', 'openPrice': 2.3, 'highPrice': 2.3, 'lowPrice': 2.2922, 'lastPrice': 2.2943, 'priceChange': 0.0043, 'percentChange': 0.001877729258, 'volume': 239, 'openInterest': 508}"
06/18/2025,2.2900,2.2900,2.2791,2.2900,-0.0099,-0.43%,84,426,"{'tradeTime': '2025-06-18', 'openPrice': 2.29, 'highPrice': 2.29, 'lowPrice': 2.2791, 'lastPrice': 2.29, 'priceChange': -0.0099, 'percentChange': -0.00430453498, 'volume': 84, 'openInterest': 426}"
06/17/2025,2.2600,2.2999,2.2598,2.2999,+0.0564,+2.51%,171,411,"{'tradeTime': '2025-06-17', 'openPrice': 2.26, 'highPrice': 2.2999, 'lowPrice': 2.2598, 'lastPrice': 2.2999, 'priceChange': 0.0564, 'percentChange': 0.025139291286, 'volume': 171, 'openInterest': 411}"
06/16/2025,2.2435,2.2519,2.2130,2.2435,+0.0253,+1.14%,32,414,"{'tradeTime': '2025-06-16', 'openPrice': 2.2435, 'highPrice': 2.2519, 'lowPrice': 2.213, 'lastPrice': 2.2435, 'priceChange': 0.0253, 'percentChange': 0.011405644216, 'volume': 32, 'openInterest': 414}"
06/13/2025,2.2008,2.2182,2.1998,2.2182,+0.0836,+3.92%,440,413,"{'tradeTime': '2025-06-13', 'openPrice': 2.2008, 'highPrice': 2.2182, 'lowPrice': 2.1998, 'lastPrice': 2.2182, 'priceChange': 0.0836, 'percentChange': 0.039164246229, 'volume': 440, 'openInterest': 413}"
06/12/2025,2.1346,2.1346,2.1346,2.1346,-0.0119,-0.55%,61,445,"{'tradeTime': '2025-06-12', 'openPrice': 2.1346, 'highPrice': 2.1346, 'lowPrice': 2.1346, 'lastPrice': 2.1346, 'priceChange': -0.0119, 'percentChange': -0.005543908689, 'volume': 61, 'openInterest': 445}"
06/11/2025,2.1465,2.1465,2.1465,2.1465,+0.0381,+1.81%,71,445,"{'tradeTime': '2025-06-11', 'openPrice': 2.1465, 'highPrice': 2.1465, 'lowPrice': 2.1465, 'lastPrice': 2.1465, 'priceChange': 0.0381, 'percentChange': 0.018070574843, 'volume': 71, 'openInterest': 445}"
06/10/2025,2.1084,2.1084,2.1084,2.1084,+0.0010,+0.05%,26,430,"{'tradeTime': '2025-06-10', 'openPrice': 2.1084, 'highPrice': 2.1084, 'lowPrice': 2.1084, 'lastPrice': 2.1084, 'priceChange': 0.001, 'percentChange': 0.000474518364, 'volume': 26, 'openInterest': 430}"
06/09/2025,2.1074,2.1074,2.1074,2.1074,+0.0123,+0.59%,13,431,"{'tradeTime': '2025-06-09', 'openPrice': 2.1074, 'highPrice': 2.1074, 'lowPrice': 2.1074, 'lastPrice': 2.1074, 'priceChange': 0.0123, 'percentChange': 0.005870841487, 'volume': 13, 'openInterest': 431}"
06/06/2025,2.0951,2.0951,2.0729,2.0951,+0.0195,+0.94%,21,430,"{'tradeTime': '2025-06-06', 'openPrice': 2.0951, 'highPrice': 2.0951, 'lowPrice': 2.0729, 'lastPrice': 2.0951, 'priceChange': 0.0195, 'percentChange': 0.009394873771, 'volume': 21, 'openInterest': 430}"
06/05/2025,2.0756,2.0756,2.0756,2.0756,+0.0107,+0.52%,5,428,"{'tradeTime': '2025-06-05', 'openPrice': 2.0756, 'highPrice': 2.0756, 'lowPrice': 2.0756, 'lastPrice': 2.0756, 'priceChange': 0.0107, 'percentChange': 0.005181849, 'volume': 5, 'openInterest': 428}"
06/04/2025,2.0649,2.0649,2.0649,2.0649,-0.0228,-1.09%,24,429,"{'tradeTime': '2025-06-04', 'openPrice': 2.0649, 'highPrice': 2.0649, 'lowPrice': 2.0649, 'lastPrice': 2.0649, 'priceChange': -0.0228, 'percentChange': -0.010921109355, 'volume': 24, 'openInterest': 429}"
06/03/2025,2.0877,2.0877,2.0877,2.0877,+0.0349,+1.70%,31,425,"{'tradeTime': '2025-06-03', 'openPrice': 2.0877, 'highPrice': 2.0877, 'lowPrice': 2.0877, 'lastPrice': 2.0877, 'priceChange': 0.0349, 'percentChange': 0.017001169135, 'volume': 31, 'openInterest': 425}"
06/02/2025,2.0700,2.0700,2.0528,2.0528,+0.0307,+1.52%,35,424,"{'tradeTime': '2025-06-02', 'openPrice': 2.07, 'highPrice': 2.07, 'lowPrice': 2.0528, 'lastPrice': 2.0528, 'priceChange': 0.0307, 'percentChange': 0.015182236289, 'volume': 35, 'openInterest': 424}"
