tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
07/08/2025,2.3636,2.4077,2.3495,2.3939,+0.0219,+0.92%,"46,695","69,776","{'tradeTime': '2025-07-08', 'openPrice': 2.3636, 'highPrice': 2.4077, 'lowPrice': 2.3495, 'lastPrice': 2.3939, 'priceChange': 0.0219, 'percentChange': 0.009232715008, 'volume': 46695, 'openInterest': 69776}"
07/07/2025,2.3452,2.3850,2.3285,2.3720,+0.0407,+1.75%,"66,632","66,093","{'tradeTime': '2025-07-07', 'openPrice': 2.3452, 'highPrice': 2.385, 'lowPrice': 2.3285, 'lastPrice': 2.372, 'priceChange': 0.0407, 'percentChange': 0.017458070604, 'volume': 66632, 'openInterest': 66093}"
07/03/2025,2.3632,2.3718,2.3283,2.3313,-0.0296,-1.25%,"66,177","64,857","{'tradeTime': '2025-07-03', 'openPrice': 2.3632, 'highPrice': 2.3718, 'lowPrice': 2.3283, 'lastPrice': 2.3313, 'priceChange': -0.0296, 'percentChange': -0.012537591596, 'volume': 66177, 'openInterest': 64857}"
07/02/2025,2.2960,2.3674,2.2831,2.3609,+0.0708,+3.09%,"82,205","61,355","{'tradeTime': '2025-07-02', 'openPrice': 2.296, 'highPrice': 2.3674, 'lowPrice': 2.2831, 'lastPrice': 2.3609, 'priceChange': 0.0708, 'percentChange': 0.030915680538, 'volume': 82205, 'openInterest': 61355}"
07/01/2025,2.2454,2.2998,2.2316,2.2901,+0.0383,+1.70%,"60,782","59,043","{'tradeTime': '2025-07-01', 'openPrice': 2.2454, 'highPrice': 2.2998, 'lowPrice': 2.2316, 'lastPrice': 2.2901, 'priceChange': 0.0383, 'percentChange': 0.01700861533, 'volume': 60782, 'openInterest': 59043}"
06/30/2025,2.2155,2.2573,2.2040,2.2518,+0.0263,+1.18%,"46,101","59,162","{'tradeTime': '2025-06-30', 'openPrice': 2.2155, 'highPrice': 2.2573, 'lowPrice': 2.204, 'lastPrice': 2.2518, 'priceChange': 0.0263, 'percentChange': 0.011817569086, 'volume': 46101, 'openInterest': 59162}"
06/27/2025,2.2720,2.2777,2.2076,2.2255,-0.0409,-1.80%,"13,773","57,339","{'tradeTime': '2025-06-27', 'openPrice': 2.272, 'highPrice': 2.2777, 'lowPrice': 2.2076, 'lastPrice': 2.2255, 'priceChange': -0.0409, 'percentChange': -0.018046240734, 'volume': 13773, 'openInterest': 57339}"
06/26/2025,2.2515,2.2988,2.2367,2.2664,+0.0255,+1.14%,"45,898","52,245","{'tradeTime': '2025-06-26', 'openPrice': 2.2515, 'highPrice': 2.2988, 'lowPrice': 2.2367, 'lastPrice': 2.2664, 'priceChange': 0.0255, 'percentChange': 0.011379356509, 'volume': 45898, 'openInterest': 52245}"
06/25/2025,2.2555,2.2817,2.2356,2.2409,+0.0062,+0.28%,"56,509","50,147","{'tradeTime': '2025-06-25', 'openPrice': 2.2555, 'highPrice': 2.2817, 'lowPrice': 2.2356, 'lastPrice': 2.2409, 'priceChange': 0.0062, 'percentChange': 0.002774421623, 'volume': 56509, 'openInterest': 50147}"
06/24/2025,2.2500,2.2732,2.1958,2.2347,-0.0939,-4.03%,"58,050","47,340","{'tradeTime': '2025-06-24', 'openPrice': 2.25, 'highPrice': 2.2732, 'lowPrice': 2.1958, 'lastPrice': 2.2347, 'priceChange': -0.0939, 'percentChange': -0.040324658593, 'volume': 58050, 'openInterest': 47340}"
