tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
06/17/2025,675.50,703.00,668.50,691.00,+29.50,+4.46%,"27,492","55,317","{'tradeTime': '2025-06-17', 'openPrice': 675.5, 'highPrice': 703, 'lowPrice': 668.5, 'lastPrice': 691, 'priceChange': 29.5, 'percentChange': 0.044595616024, 'volume': 27492, 'openInterest': 55317}"
06/16/2025,700.00,706.00,653.00,661.50,-3.25,-0.49%,"25,948","53,358","{'tradeTime': '2025-06-16', 'openPrice': 700, 'highPrice': 706, 'lowPrice': 653, 'lastPrice': 661.5, 'priceChange': -3.25, 'percentChange': -0.004889056036, 'volume': 25948, 'openInterest': 53358}"
06/13/2025,644.50,685.00,644.00,664.75,+28.50,+4.48%,"37,581","54,084","{'tradeTime': '2025-06-13', 'openPrice': 644.5, 'highPrice': 685, 'lowPrice': 644, 'lastPrice': 664.75, 'priceChange': 28.5, 'percentChange': 0.044793713163, 'volume': 37581, 'openInterest': 54084}"
06/12/2025,640.25,642.50,630.50,636.25,+7.75,+1.23%,"14,420","50,318","{'tradeTime': '2025-06-12', 'openPrice': 640.25, 'highPrice': 642.5, 'lowPrice': 630.5, 'lastPrice': 636.25, 'priceChange': 7.75, 'percentChange': 0.012330946698, 'volume': 14420, 'openInterest': 50318}"
06/11/2025,618.00,642.00,615.25,628.50,+1.25,+0.20%,"16,594","50,572","{'tradeTime': '2025-06-11', 'openPrice': 618, 'highPrice': 642, 'lowPrice': 615.25, 'lastPrice': 628.5, 'priceChange': 1.25, 'percentChange': 0.001992825827, 'volume': 16594, 'openInterest': 50572}"
06/10/2025,622.00,627.50,617.50,627.25,+6.00,+0.97%,"14,882","49,874","{'tradeTime': '2025-06-10', 'openPrice': 622, 'highPrice': 627.5, 'lowPrice': 617.5, 'lastPrice': 627.25, 'priceChange': 6, 'percentChange': 0.009657947686, 'volume': 14882, 'openInterest': 49874}"
06/09/2025,618.50,622.50,615.75,621.25,+5.00,+0.81%,"12,081","48,386","{'tradeTime': '2025-06-09', 'openPrice': 618.5, 'highPrice': 622.5, 'lowPrice': 615.75, 'lastPrice': 621.25, 'priceChange': 5, 'percentChange': 0.008113590264, 'volume': 12081, 'openInterest': 48386}"
06/06/2025,610.75,619.25,607.25,616.25,+3.25,+0.53%,"9,301","47,775","{'tradeTime': '2025-06-06', 'openPrice': 610.75, 'highPrice': 619.25, 'lowPrice': 607.25, 'lastPrice': 616.25, 'priceChange': 3.25, 'percentChange': 0.005301794454, 'volume': 9301, 'openInterest': 47775}"
06/05/2025,605.00,614.25,603.25,613.00,+8.75,+1.45%,"6,539","45,564","{'tradeTime': '2025-06-05', 'openPrice': 605, 'highPrice': 614.25, 'lowPrice': 603.25, 'lastPrice': 613, 'priceChange': 8.75, 'percentChange': 0.014480761274, 'volume': 6539, 'openInterest': 45564}"
06/04/2025,611.75,614.50,602.00,604.25,-8.50,-1.39%,"8,254","45,784","{'tradeTime': '2025-06-04', 'openPrice': 611.75, 'highPrice': 614.5, 'lowPrice': 602, 'lastPrice': 604.25, 'priceChange': -8.5, 'percentChange': -0.013871889025, 'volume': 8254, 'openInterest': 45784}"
