tradeTime,openPrice,highPrice,lowPrice,lastPrice,priceChange,percentChange,volume,openInterest,raw
06/17/2025,2.3582,2.4890,2.3511,2.4711,+0.0976,+4.11%,"114,279","77,951","{'tradeTime': '2025-06-17', 'openPrice': 2.3582, 'highPrice': 2.489, 'lowPrice': 2.3511, 'lastPrice': 2.4711, 'priceChange': 0.0976, 'percentChange': 0.041120707815, 'volume': 114279, 'openInterest': 77951}"
06/16/2025,2.3778,2.4572,2.2848,2.3735,+0.0332,+1.42%,"121,511","77,270","{'tradeTime': '2025-06-16', 'openPrice': 2.3778, 'highPrice': 2.4572, 'lowPrice': 2.2848, 'lastPrice': 2.3735, 'priceChange': 0.0332, 'percentChange': 0.014186215442, 'volume': 121511, 'openInterest': 77270}"
06/13/2025,2.2003,2.3781,2.1953,2.3403,+0.1599,+7.33%,"132,211","83,161","{'tradeTime': '2025-06-13', 'openPrice': 2.2003, 'highPrice': 2.3781, 'lowPrice': 2.1953, 'lastPrice': 2.3403, 'priceChange': 0.1599, 'percentChange': 0.073335167859, 'volume': 132211, 'openInterest': 83161}"
06/12/2025,2.2050,2.2070,2.1607,2.1804,-0.0141,-0.64%,"55,459","82,260","{'tradeTime': '2025-06-12', 'openPrice': 2.205, 'highPrice': 2.207, 'lowPrice': 2.1607, 'lastPrice': 2.1804, 'priceChange': -0.0141, 'percentChange': -0.006425153794, 'volume': 55459, 'openInterest': 82260}"
06/11/2025,2.1240,2.1995,2.1134,2.1945,+0.0674,+3.17%,"51,904","79,824","{'tradeTime': '2025-06-11', 'openPrice': 2.124, 'highPrice': 2.1995, 'lowPrice': 2.1134, 'lastPrice': 2.1945, 'priceChange': 0.0674, 'percentChange': 0.031686333506, 'volume': 51904, 'openInterest': 79824}"
06/10/2025,2.1281,2.1570,2.1174,2.1271,-0.0018,-0.08%,"54,386","75,792","{'tradeTime': '2025-06-10', 'openPrice': 2.1281, 'highPrice': 2.157, 'lowPrice': 2.1174, 'lastPrice': 2.1271, 'priceChange': -0.0018, 'percentChange': -0.000845507069, 'volume': 54386, 'openInterest': 75792}"
06/09/2025,2.1162,2.1323,2.1057,2.1289,+0.0177,+0.84%,"48,274","73,058","{'tradeTime': '2025-06-09', 'openPrice': 2.1162, 'highPrice': 2.1323, 'lowPrice': 2.1057, 'lastPrice': 2.1289, 'priceChange': 0.0177, 'percentChange': 0.008383857522, 'volume': 48274, 'openInterest': 73058}"
06/06/2025,2.0843,2.1174,2.0711,2.1112,+0.0264,+1.27%,"43,588","68,875","{'tradeTime': '2025-06-06', 'openPrice': 2.0843, 'highPrice': 2.1174, 'lowPrice': 2.0711, 'lastPrice': 2.1112, 'priceChange': 0.0264, 'percentChange': 0.012663085188, 'volume': 43588, 'openInterest': 68875}"
06/05/2025,2.0626,2.0983,2.0539,2.0848,+0.0219,+1.06%,"32,204","65,774","{'tradeTime': '2025-06-05', 'openPrice': 2.0626, 'highPrice': 2.0983, 'lowPrice': 2.0539, 'lastPrice': 2.0848, 'priceChange': 0.0219, 'percentChange': 0.010616122934, 'volume': 32204, 'openInterest': 65774}"
06/04/2025,2.0910,2.0993,2.0514,2.0629,-0.0262,-1.25%,"46,016","62,691","{'tradeTime': '2025-06-04', 'openPrice': 2.091, 'highPrice': 2.0993, 'lowPrice': 2.0514, 'lastPrice': 2.0629, 'priceChange': -0.0262, 'percentChange': -0.012541285721, 'volume': 46016, 'openInterest': 62691}"
