symbol,contractSymbol,dailyLastPrice,dailyPriceChange,dailyOpenPrice,dailyHighPrice,dailyLowPrice,dailyPreviousPrice,dailyVolume,dailyOpenInterest,dailyDate1dAgo,symbolCode,symbolType,hasOptions,raw
LFN25,LFN25 (Jul '25),685.25,+1.00,725.00,738.75,673.50,684.25,"176,939","212,003",06/16/25,FUT,2,Yes,"{'symbol': 'LFN25', 'contractSymbol': ""LFN25 (Jul '25)"", 'dailyLastPrice': 685.25, 'dailyPriceChange': 1, 'dailyOpenPrice': 725, 'dailyHighPrice': 738.75, 'dailyLowPrice': 673.5, 'dailyPreviousPrice': 684.25, 'dailyVolume': 176939, 'dailyOpenInterest': 212003, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFQ25,LFQ25 (Aug '25),675.50,-1.25,713.50,721.75,664.50,676.75,"147,593","172,696",06/16/25,FUT,2,Yes,"{'symbol': 'LFQ25', 'contractSymbol': ""LFQ25 (Aug '25)"", 'dailyLastPrice': 675.5, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 713.5, 'dailyHighPrice': 721.75, 'dailyLowPrice': 664.5, 'dailyPreviousPrice': 676.75, 'dailyVolume': 147593, 'dailyOpenInterest': 172696, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFU25,LFU25 (Sep '25),670.00,-2.75,711.25,719.00,659.75,672.75,"122,269","133,976",06/16/25,FUT,2,Yes,"{'symbol': 'LFU25', 'contractSymbol': ""LFU25 (Sep '25)"", 'dailyLastPrice': 670, 'dailyPriceChange': -2.75, 'dailyOpenPrice': 711.25, 'dailyHighPrice': 719, 'dailyLowPrice': 659.75, 'dailyPreviousPrice': 672.75, 'dailyVolume': 122269, 'dailyOpenInterest': 133976, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFV25,LFV25 (Oct '25),668.00,-2.75,706.75,715.75,658.50,670.75,"55,406","89,422",06/16/25,FUT,2,Yes,"{'symbol': 'LFV25', 'contractSymbol': ""LFV25 (Oct '25)"", 'dailyLastPrice': 668, 'dailyPriceChange': -2.75, 'dailyOpenPrice': 706.75, 'dailyHighPrice': 715.75, 'dailyLowPrice': 658.5, 'dailyPreviousPrice': 670.75, 'dailyVolume': 55406, 'dailyOpenInterest': 89422, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFX25,LFX25 (Nov '25),661.50,-3.25,700.00,706.00,653.00,664.75,"25,948","54,084",06/16/25,FUT,2,Yes,"{'symbol': 'LFX25', 'contractSymbol': ""LFX25 (Nov '25)"", 'dailyLastPrice': 661.5, 'dailyPriceChange': -3.25, 'dailyOpenPrice': 700, 'dailyHighPrice': 706, 'dailyLowPrice': 653, 'dailyPreviousPrice': 664.75, 'dailyVolume': 25948, 'dailyOpenInterest': 54084, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFZ25,LFZ25 (Dec '25),654.25,-4.00,678.50,702.00,646.25,658.25,"96,728","111,318",06/16/25,FUT,2,Yes,"{'symbol': 'LFZ25', 'contractSymbol': ""LFZ25 (Dec '25)"", 'dailyLastPrice': 654.25, 'dailyPriceChange': -4, 'dailyOpenPrice': 678.5, 'dailyHighPrice': 702, 'dailyLowPrice': 646.25, 'dailyPreviousPrice': 658.25, 'dailyVolume': 96728, 'dailyOpenInterest': 111318, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFF26,LFF26 (Jan '26),651.25,-4.50,694.25,696.75,643.75,655.75,"19,011","35,772",06/16/25,FUT,2,Yes,"{'symbol': 'LFF26', 'contractSymbol': ""LFF26 (Jan '26)"", 'dailyLastPrice': 651.25, 'dailyPriceChange': -4.5, 'dailyOpenPrice': 694.25, 'dailyHighPrice': 696.75, 'dailyLowPrice': 643.75, 'dailyPreviousPrice': 655.75, 'dailyVolume': 19011, 'dailyOpenInterest': 35772, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFG26,LFG26 (Feb '26),649.75,-4.50,691.25,694.00,643.00,654.25,"13,866","24,895",06/16/25,FUT,2,Yes,"{'symbol': 'LFG26', 'contractSymbol': ""LFG26 (Feb '26)"", 'dailyLastPrice': 649.75, 'dailyPriceChange': -4.5, 'dailyOpenPrice': 691.25, 'dailyHighPrice': 694, 'dailyLowPrice': 643, 'dailyPreviousPrice': 654.25, 'dailyVolume': 13866, 'dailyOpenInterest': 24895, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFH26,LFH26 (Mar '26),647.50,-4.25,687.50,690.50,641.25,651.75,"16,003","36,214",06/16/25,FUT,2,Yes,"{'symbol': 'LFH26', 'contractSymbol': ""LFH26 (Mar '26)"", 'dailyLastPrice': 647.5, 'dailyPriceChange': -4.25, 'dailyOpenPrice': 687.5, 'dailyHighPrice': 690.5, 'dailyLowPrice': 641.25, 'dailyPreviousPrice': 651.75, 'dailyVolume': 16003, 'dailyOpenInterest': 36214, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFJ26,LFJ26 (Apr '26),643.75,-4.00,681.25,681.25,637.75,647.75,"4,528","21,463",06/16/25,FUT,2,Yes,"{'symbol': 'LFJ26', 'contractSymbol': ""LFJ26 (Apr '26)"", 'dailyLastPrice': 643.75, 'dailyPriceChange': -4, 'dailyOpenPrice': 681.25, 'dailyHighPrice': 681.25, 'dailyLowPrice': 637.75, 'dailyPreviousPrice': 647.75, 'dailyVolume': 4528, 'dailyOpenInterest': 21463, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
