symbol,contractSymbol,dailyLastPrice,dailyPriceChange,dailyOpenPrice,dailyHighPrice,dailyLowPrice,dailyPreviousPrice,dailyVolume,dailyOpenInterest,dailyDate1dAgo,symbolCode,symbolType,hasOptions,raw
LFK26,LFK26 (May '26),642.50,-3.50,679.00,679.00,636.75,646.00,"1,907","13,351",06/16/25,FUT,2,Yes,"{'symbol': 'LFK26', 'contractSymbol': ""LFK26 (May '26)"", 'dailyLastPrice': 642.5, 'dailyPriceChange': -3.5, 'dailyOpenPrice': 679, 'dailyHighPrice': 679, 'dailyLowPrice': 636.75, 'dailyPreviousPrice': 646, 'dailyVolume': 1907, 'dailyOpenInterest': 13351, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFM26,LFM26 (Jun '26),641.25,-3.25,676.50,679.50,636.00,644.50,"13,154","43,871",06/16/25,FUT,2,Yes,"{'symbol': 'LFM26', 'contractSymbol': ""LFM26 (Jun '26)"", 'dailyLastPrice': 641.25, 'dailyPriceChange': -3.25, 'dailyOpenPrice': 676.5, 'dailyHighPrice': 679.5, 'dailyLowPrice': 636, 'dailyPreviousPrice': 644.5, 'dailyVolume': 13154, 'dailyOpenInterest': 43871, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFN26,LFN26 (Jul '26),641.25,-3.00,675.50,675.50,638.25,644.25,"1,456","11,937",06/16/25,FUT,2,Yes,"{'symbol': 'LFN26', 'contractSymbol': ""LFN26 (Jul '26)"", 'dailyLastPrice': 641.25, 'dailyPriceChange': -3, 'dailyOpenPrice': 675.5, 'dailyHighPrice': 675.5, 'dailyLowPrice': 638.25, 'dailyPreviousPrice': 644.25, 'dailyVolume': 1456, 'dailyOpenInterest': 11937, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFQ26,LFQ26 (Aug '26),641.50,-2.75,662.25,669.25,638.50,644.25,"1,473","9,121",06/16/25,FUT,2,Yes,"{'symbol': 'LFQ26', 'contractSymbol': ""LFQ26 (Aug '26)"", 'dailyLastPrice': 641.5, 'dailyPriceChange': -2.75, 'dailyOpenPrice': 662.25, 'dailyHighPrice': 669.25, 'dailyLowPrice': 638.5, 'dailyPreviousPrice': 644.25, 'dailyVolume': 1473, 'dailyOpenInterest': 9121, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFU26,LFU26 (Sep '26),641.75,-2.75,668.00,668.50,639.00,644.50,"1,375","12,288",06/16/25,FUT,2,Yes,"{'symbol': 'LFU26', 'contractSymbol': ""LFU26 (Sep '26)"", 'dailyLastPrice': 641.75, 'dailyPriceChange': -2.75, 'dailyOpenPrice': 668, 'dailyHighPrice': 668.5, 'dailyLowPrice': 639, 'dailyPreviousPrice': 644.5, 'dailyVolume': 1375, 'dailyOpenInterest': 12288, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFV26,LFV26 (Oct '26),643.25,-2.50,0.00,643.25,643.25,645.75,663,"3,876",06/16/25,FUT,2,Yes,"{'symbol': 'LFV26', 'contractSymbol': ""LFV26 (Oct '26)"", 'dailyLastPrice': 643.25, 'dailyPriceChange': -2.5, 'dailyOpenPrice': 0, 'dailyHighPrice': 643.25, 'dailyLowPrice': 643.25, 'dailyPreviousPrice': 645.75, 'dailyVolume': 663, 'dailyOpenInterest': 3876, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFX26,LFX26 (Nov '26),641.75,-2.25,0.00,641.75,641.75,644.00,467,"3,982",06/16/25,FUT,2,Yes,"{'symbol': 'LFX26', 'contractSymbol': ""LFX26 (Nov '26)"", 'dailyLastPrice': 641.75, 'dailyPriceChange': -2.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 641.75, 'dailyLowPrice': 641.75, 'dailyPreviousPrice': 644, 'dailyVolume': 467, 'dailyOpenInterest': 3982, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFZ26,LFZ26 (Dec '26),639.25,-2.00,663.00,664.50,634.50,641.25,"8,099","32,562",06/16/25,FUT,2,Yes,"{'symbol': 'LFZ26', 'contractSymbol': ""LFZ26 (Dec '26)"", 'dailyLastPrice': 639.25, 'dailyPriceChange': -2, 'dailyOpenPrice': 663, 'dailyHighPrice': 664.5, 'dailyLowPrice': 634.5, 'dailyPreviousPrice': 641.25, 'dailyVolume': 8099, 'dailyOpenInterest': 32562, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFF27,LFF27 (Jan '27),639.00,-2.00,0.00,639.00,639.00,641.00,159,"4,687",06/16/25,FUT,2,Yes,"{'symbol': 'LFF27', 'contractSymbol': ""LFF27 (Jan '27)"", 'dailyLastPrice': 639, 'dailyPriceChange': -2, 'dailyOpenPrice': 0, 'dailyHighPrice': 639, 'dailyLowPrice': 639, 'dailyPreviousPrice': 641, 'dailyVolume': 159, 'dailyOpenInterest': 4687, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFG27,LFG27 (Feb '27),639.50,-2.00,0.00,639.50,639.50,641.50,36,"1,000",06/16/25,FUT,2,Yes,"{'symbol': 'LFG27', 'contractSymbol': ""LFG27 (Feb '27)"", 'dailyLastPrice': 639.5, 'dailyPriceChange': -2, 'dailyOpenPrice': 0, 'dailyHighPrice': 639.5, 'dailyLowPrice': 639.5, 'dailyPreviousPrice': 641.5, 'dailyVolume': 36, 'dailyOpenInterest': 1000, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFH27,LFH27 (Mar '27),639.50,-2.00,0.00,639.50,639.50,641.50,52,"1,198",06/16/25,FUT,2,Yes,"{'symbol': 'LFH27', 'contractSymbol': ""LFH27 (Mar '27)"", 'dailyLastPrice': 639.5, 'dailyPriceChange': -2, 'dailyOpenPrice': 0, 'dailyHighPrice': 639.5, 'dailyLowPrice': 639.5, 'dailyPreviousPrice': 641.5, 'dailyVolume': 52, 'dailyOpenInterest': 1198, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFJ27,LFJ27 (Apr '27),638.25,-2.00,0.00,638.25,638.25,640.25,84,883,06/16/25,FUT,2,Yes,"{'symbol': 'LFJ27', 'contractSymbol': ""LFJ27 (Apr '27)"", 'dailyLastPrice': 638.25, 'dailyPriceChange': -2, 'dailyOpenPrice': 0, 'dailyHighPrice': 638.25, 'dailyLowPrice': 638.25, 'dailyPreviousPrice': 640.25, 'dailyVolume': 84, 'dailyOpenInterest': 883, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFK27,LFK27 (May '27),637.75,-1.75,0.00,637.75,637.75,639.50,47,237,06/16/25,FUT,2,Yes,"{'symbol': 'LFK27', 'contractSymbol': ""LFK27 (May '27)"", 'dailyLastPrice': 637.75, 'dailyPriceChange': -1.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.75, 'dailyLowPrice': 637.75, 'dailyPreviousPrice': 639.5, 'dailyVolume': 47, 'dailyOpenInterest': 237, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFM27,LFM27 (Jun '27),636.50,-1.75,658.50,658.50,636.50,638.25,147,"4,560",06/16/25,FUT,2,Yes,"{'symbol': 'LFM27', 'contractSymbol': ""LFM27 (Jun '27)"", 'dailyLastPrice': 636.5, 'dailyPriceChange': -1.75, 'dailyOpenPrice': 658.5, 'dailyHighPrice': 658.5, 'dailyLowPrice': 636.5, 'dailyPreviousPrice': 638.25, 'dailyVolume': 147, 'dailyOpenInterest': 4560, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFN27,LFN27 (Jul '27),636.50,-1.50,0.00,636.50,636.50,638.00,6,433,06/16/25,FUT,2,Yes,"{'symbol': 'LFN27', 'contractSymbol': ""LFN27 (Jul '27)"", 'dailyLastPrice': 636.5, 'dailyPriceChange': -1.5, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.5, 'dailyLowPrice': 636.5, 'dailyPreviousPrice': 638, 'dailyVolume': 6, 'dailyOpenInterest': 433, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFQ27,LFQ27 (Aug '27),636.75,-1.25,0.00,636.75,636.75,638.00,3,418,06/16/25,FUT,2,Yes,"{'symbol': 'LFQ27', 'contractSymbol': ""LFQ27 (Aug '27)"", 'dailyLastPrice': 636.75, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.75, 'dailyLowPrice': 636.75, 'dailyPreviousPrice': 638, 'dailyVolume': 3, 'dailyOpenInterest': 418, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFU27,LFU27 (Sep '27),637.25,-1.25,0.00,637.25,637.25,638.50,3,320,06/16/25,FUT,2,Yes,"{'symbol': 'LFU27', 'contractSymbol': ""LFU27 (Sep '27)"", 'dailyLastPrice': 637.25, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.25, 'dailyLowPrice': 637.25, 'dailyPreviousPrice': 638.5, 'dailyVolume': 3, 'dailyOpenInterest': 320, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFV27,LFV27 (Oct '27),638.50,-1.25,0.00,638.50,638.50,639.75,6,276,06/16/25,FUT,2,Yes,"{'symbol': 'LFV27', 'contractSymbol': ""LFV27 (Oct '27)"", 'dailyLastPrice': 638.5, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 638.5, 'dailyLowPrice': 638.5, 'dailyPreviousPrice': 639.75, 'dailyVolume': 6, 'dailyOpenInterest': 276, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFX27,LFX27 (Nov '27),637.25,-1.25,0.00,637.25,637.25,638.50,6,253,06/16/25,FUT,2,Yes,"{'symbol': 'LFX27', 'contractSymbol': ""LFX27 (Nov '27)"", 'dailyLastPrice': 637.25, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.25, 'dailyLowPrice': 637.25, 'dailyPreviousPrice': 638.5, 'dailyVolume': 6, 'dailyOpenInterest': 253, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFZ27,LFZ27 (Dec '27),634.75,-1.25,647.75,647.75,634.75,636.00,209,"6,974",06/16/25,FUT,2,Yes,"{'symbol': 'LFZ27', 'contractSymbol': ""LFZ27 (Dec '27)"", 'dailyLastPrice': 634.75, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 647.75, 'dailyHighPrice': 647.75, 'dailyLowPrice': 634.75, 'dailyPreviousPrice': 636, 'dailyVolume': 209, 'dailyOpenInterest': 6974, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFF28,LFF28 (Jan '28),634.00,-1.25,0.00,634.00,634.00,635.25,0,185,06/16/25,FUT,2,Yes,"{'symbol': 'LFF28', 'contractSymbol': ""LFF28 (Jan '28)"", 'dailyLastPrice': 634, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 634, 'dailyLowPrice': 634, 'dailyPreviousPrice': 635.25, 'dailyVolume': 0, 'dailyOpenInterest': 185, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFG28,LFG28 (Feb '28),634.75,-1.25,0.00,634.75,634.75,636.00,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFG28', 'contractSymbol': ""LFG28 (Feb '28)"", 'dailyLastPrice': 634.75, 'dailyPriceChange': -1.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 634.75, 'dailyLowPrice': 634.75, 'dailyPreviousPrice': 636, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFH28,LFH28 (Mar '28),636.00,-1.00,0.00,636.00,636.00,637.00,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFH28', 'contractSymbol': ""LFH28 (Mar '28)"", 'dailyLastPrice': 636, 'dailyPriceChange': -1, 'dailyOpenPrice': 0, 'dailyHighPrice': 636, 'dailyLowPrice': 636, 'dailyPreviousPrice': 637, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFJ28,LFJ28 (Apr '28),636.50,-0.75,0.00,636.50,636.50,637.25,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFJ28', 'contractSymbol': ""LFJ28 (Apr '28)"", 'dailyLastPrice': 636.5, 'dailyPriceChange': -0.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.5, 'dailyLowPrice': 636.5, 'dailyPreviousPrice': 637.25, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFK28,LFK28 (May '28),637.00,-0.75,0.00,637.00,637.00,637.75,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFK28', 'contractSymbol': ""LFK28 (May '28)"", 'dailyLastPrice': 637, 'dailyPriceChange': -0.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 637, 'dailyLowPrice': 637, 'dailyPreviousPrice': 637.75, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFM28,LFM28 (Jun '28),636.75,-0.75,0.00,636.75,636.75,637.50,0,167,06/16/25,FUT,2,Yes,"{'symbol': 'LFM28', 'contractSymbol': ""LFM28 (Jun '28)"", 'dailyLastPrice': 636.75, 'dailyPriceChange': -0.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.75, 'dailyLowPrice': 636.75, 'dailyPreviousPrice': 637.5, 'dailyVolume': 0, 'dailyOpenInterest': 167, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFN28,LFN28 (Jul '28),637.25,-0.75,0.00,637.25,637.25,638.00,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFN28', 'contractSymbol': ""LFN28 (Jul '28)"", 'dailyLastPrice': 637.25, 'dailyPriceChange': -0.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.25, 'dailyLowPrice': 637.25, 'dailyPreviousPrice': 638, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFQ28,LFQ28 (Aug '28),637.75,-0.75,0.00,637.75,637.75,638.50,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFQ28', 'contractSymbol': ""LFQ28 (Aug '28)"", 'dailyLastPrice': 637.75, 'dailyPriceChange': -0.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.75, 'dailyLowPrice': 637.75, 'dailyPreviousPrice': 638.5, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFU28,LFU28 (Sep '28),638.25,-0.50,0.00,638.25,638.25,638.75,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFU28', 'contractSymbol': ""LFU28 (Sep '28)"", 'dailyLastPrice': 638.25, 'dailyPriceChange': -0.5, 'dailyOpenPrice': 0, 'dailyHighPrice': 638.25, 'dailyLowPrice': 638.25, 'dailyPreviousPrice': 638.75, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFV28,LFV28 (Oct '28),638.75,-0.25,0.00,638.75,638.75,639.00,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFV28', 'contractSymbol': ""LFV28 (Oct '28)"", 'dailyLastPrice': 638.75, 'dailyPriceChange': -0.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 638.75, 'dailyLowPrice': 638.75, 'dailyPreviousPrice': 639, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFX28,LFX28 (Nov '28),638.25,unch,0.00,638.25,638.25,638.25,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFX28', 'contractSymbol': ""LFX28 (Nov '28)"", 'dailyLastPrice': 638.25, 'dailyPriceChange': 0, 'dailyOpenPrice': 0, 'dailyHighPrice': 638.25, 'dailyLowPrice': 638.25, 'dailyPreviousPrice': 638.25, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFZ28,LFZ28 (Dec '28),635.75,+0.25,0.00,635.75,635.75,635.50,0,731,06/16/25,FUT,2,Yes,"{'symbol': 'LFZ28', 'contractSymbol': ""LFZ28 (Dec '28)"", 'dailyLastPrice': 635.75, 'dailyPriceChange': 0.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 635.75, 'dailyLowPrice': 635.75, 'dailyPreviousPrice': 635.5, 'dailyVolume': 0, 'dailyOpenInterest': 731, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFF29,LFF29 (Jan '29),636.00,+0.25,0.00,636.00,636.00,635.75,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFF29', 'contractSymbol': ""LFF29 (Jan '29)"", 'dailyLastPrice': 636, 'dailyPriceChange': 0.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 636, 'dailyLowPrice': 636, 'dailyPreviousPrice': 635.75, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFG29,LFG29 (Feb '29),636.25,+0.25,0.00,636.25,636.25,636.00,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFG29', 'contractSymbol': ""LFG29 (Feb '29)"", 'dailyLastPrice': 636.25, 'dailyPriceChange': 0.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.25, 'dailyLowPrice': 636.25, 'dailyPreviousPrice': 636, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFH29,LFH29 (Mar '29),636.50,+0.25,0.00,636.50,636.50,636.25,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFH29', 'contractSymbol': ""LFH29 (Mar '29)"", 'dailyLastPrice': 636.5, 'dailyPriceChange': 0.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.5, 'dailyLowPrice': 636.5, 'dailyPreviousPrice': 636.25, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFJ29,LFJ29 (Apr '29),636.75,+0.25,0.00,636.75,636.75,636.50,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFJ29', 'contractSymbol': ""LFJ29 (Apr '29)"", 'dailyLastPrice': 636.75, 'dailyPriceChange': 0.25, 'dailyOpenPrice': 0, 'dailyHighPrice': 636.75, 'dailyLowPrice': 636.75, 'dailyPreviousPrice': 636.5, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFK29,LFK29 (May '29),637.25,+0.50,0.00,637.25,637.25,636.75,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFK29', 'contractSymbol': ""LFK29 (May '29)"", 'dailyLastPrice': 637.25, 'dailyPriceChange': 0.5, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.25, 'dailyLowPrice': 637.25, 'dailyPreviousPrice': 636.75, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
LFM29,LFM29 (Jun '29),637.75,+0.75,0.00,637.75,637.75,637.00,0,0,06/16/25,FUT,2,Yes,"{'symbol': 'LFM29', 'contractSymbol': ""LFM29 (Jun '29)"", 'dailyLastPrice': 637.75, 'dailyPriceChange': 0.75, 'dailyOpenPrice': 0, 'dailyHighPrice': 637.75, 'dailyLowPrice': 637.75, 'dailyPreviousPrice': 637, 'dailyVolume': 0, 'dailyOpenInterest': 0, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
