symbol,contractSymbol,dailyLastPrice,dailyPriceChange,dailyOpenPrice,dailyHighPrice,dailyLowPrice,dailyPreviousPrice,dailyVolume,dailyOpenInterest,dailyDate1dAgo,symbolCode,symbolType,hasOptions,raw
HOJ26,HOJ26 (Apr '26),2.2615,+0.0193,2.2523,2.2615,2.2390,2.2422,"1,317","4,479",06/16/25,FUT,2,Yes,"{'symbol': 'HOJ26', 'contractSymbol': ""HOJ26 (Apr '26)"", 'dailyLastPrice': 2.2615, 'dailyPriceChange': 0.0193, 'dailyOpenPrice': 2.2523, 'dailyHighPrice': 2.2615, 'dailyLowPrice': 2.239, 'dailyPreviousPrice': 2.2422, 'dailyVolume': 1317, 'dailyOpenInterest': 4479, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOK26,HOK26 (May '26),2.2444,+0.0208,2.2219,2.2444,2.2219,2.2236,765,"2,043",06/16/25,FUT,2,Yes,"{'symbol': 'HOK26', 'contractSymbol': ""HOK26 (May '26)"", 'dailyLastPrice': 2.2444, 'dailyPriceChange': 0.0208, 'dailyOpenPrice': 2.2219, 'dailyHighPrice': 2.2444, 'dailyLowPrice': 2.2219, 'dailyPreviousPrice': 2.2236, 'dailyVolume': 765, 'dailyOpenInterest': 2043, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOM26,HOM26 (Jun '26),2.2323,+0.0225,2.2696,2.2826,2.1728,2.2098,"3,979","10,724",06/16/25,FUT,2,Yes,"{'symbol': 'HOM26', 'contractSymbol': ""HOM26 (Jun '26)"", 'dailyLastPrice': 2.2323, 'dailyPriceChange': 0.0225, 'dailyOpenPrice': 2.2696, 'dailyHighPrice': 2.2826, 'dailyLowPrice': 2.1728, 'dailyPreviousPrice': 2.2098, 'dailyVolume': 3979, 'dailyOpenInterest': 10724, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HON26,HON26 (Jul '26),2.2324,+0.0230,2.2103,2.2324,2.2103,2.2094,245,"1,281",06/16/25,FUT,2,Yes,"{'symbol': 'HON26', 'contractSymbol': ""HON26 (Jul '26)"", 'dailyLastPrice': 2.2324, 'dailyPriceChange': 0.023, 'dailyOpenPrice': 2.2103, 'dailyHighPrice': 2.2324, 'dailyLowPrice': 2.2103, 'dailyPreviousPrice': 2.2094, 'dailyVolume': 245, 'dailyOpenInterest': 1281, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOQ26,HOQ26 (Aug '26),2.2340,+0.0236,0.0000,2.2340,2.2340,2.2104,103,699,06/16/25,FUT,2,Yes,"{'symbol': 'HOQ26', 'contractSymbol': ""HOQ26 (Aug '26)"", 'dailyLastPrice': 2.234, 'dailyPriceChange': 0.0236, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.234, 'dailyLowPrice': 2.234, 'dailyPreviousPrice': 2.2104, 'dailyVolume': 103, 'dailyOpenInterest': 699, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOU26,HOU26 (Sep '26),2.2375,+0.0245,0.0000,2.2375,2.2375,2.2130,82,824,06/16/25,FUT,2,Yes,"{'symbol': 'HOU26', 'contractSymbol': ""HOU26 (Sep '26)"", 'dailyLastPrice': 2.2375, 'dailyPriceChange': 0.0245, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2375, 'dailyLowPrice': 2.2375, 'dailyPreviousPrice': 2.213, 'dailyVolume': 82, 'dailyOpenInterest': 824, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOV26,HOV26 (Oct '26),2.2421,+0.0251,0.0000,2.2421,2.2421,2.2170,40,457,06/16/25,FUT,2,Yes,"{'symbol': 'HOV26', 'contractSymbol': ""HOV26 (Oct '26)"", 'dailyLastPrice': 2.2421, 'dailyPriceChange': 0.0251, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2421, 'dailyLowPrice': 2.2421, 'dailyPreviousPrice': 2.217, 'dailyVolume': 40, 'dailyOpenInterest': 457, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOX26,HOX26 (Nov '26),2.2435,+0.0253,0.0000,2.2435,2.2435,2.2182,32,413,06/16/25,FUT,2,Yes,"{'symbol': 'HOX26', 'contractSymbol': ""HOX26 (Nov '26)"", 'dailyLastPrice': 2.2435, 'dailyPriceChange': 0.0253, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2435, 'dailyLowPrice': 2.2435, 'dailyPreviousPrice': 2.2182, 'dailyVolume': 32, 'dailyOpenInterest': 413, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOZ26,HOZ26 (Dec '26),2.2418,+0.0258,2.2617,2.2617,2.1934,2.2160,647,"11,910",06/16/25,FUT,2,Yes,"{'symbol': 'HOZ26', 'contractSymbol': ""HOZ26 (Dec '26)"", 'dailyLastPrice': 2.2418, 'dailyPriceChange': 0.0258, 'dailyOpenPrice': 2.2617, 'dailyHighPrice': 2.2617, 'dailyLowPrice': 2.1934, 'dailyPreviousPrice': 2.216, 'dailyVolume': 647, 'dailyOpenInterest': 11910, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
HOF27,HOF27 (Jan '27),2.2443,+0.0264,0.0000,2.2443,2.2443,2.2179,36,360,06/16/25,FUT,2,Yes,"{'symbol': 'HOF27', 'contractSymbol': ""HOF27 (Jan '27)"", 'dailyLastPrice': 2.2443, 'dailyPriceChange': 0.0264, 'dailyOpenPrice': 0, 'dailyHighPrice': 2.2443, 'dailyLowPrice': 2.2443, 'dailyPreviousPrice': 2.2179, 'dailyVolume': 36, 'dailyOpenInterest': 360, 'dailyDate1dAgo': '2025-06-16', 'symbolCode': 'FUT', 'symbolType': 2, 'hasOptions': True}"
